country	year	ddd.per.thousand	sector	atc	notes
Romania	2015	0.71	AC	J01CF	pc.hosp.total
Slovakia	2015	NA	AC	J01CF	reported.zero
Slovenia	2015	0.18	AC	J01CF	NA
Spain	2015	0.19	AC	J01CF	NA
Sweden	2015	1.54	AC	J01CF	NA
United Kingdom	2015	1.51	AC	J01CF	NA
Austria	2015	NA	AC	J01CG	reported.zero
Belgium	2015	NA	AC	J01CG	reported.zero
Bulgaria	2015	NA	AC	J01CG	reported.zero
Croatia	2015	NA	AC	J01CG	reported.zero
Cyprus	2015	NA	AC	J01CG	reported.zero
Czech Republic	2015	NA	AC	J01CG	reported.zero
Denmark	2015	NA	AC	J01CG	reported.zero
Estonia	2015	NA	AC	J01CG	reported.zero
Finland	2015	NA	AC	J01CG	reported.zero
France	2015	NA	AC	J01CG	reported.zero
Germany	2015	3e-05	AC	J01CG	NA
Greece	2015	NA	AC	J01CG	reported.zero
Hungary	2015	NA	AC	J01CG	reported.zero
Iceland	2015	NA	AC	J01CG	reported.zero
Ireland	2015	NA	AC	J01CG	reported.zero
Italy	2015	NA	AC	J01CG	reported.zero
Latvia	2015	NA	AC	J01CG	reported.zero
Liechtenstein	2015	NA	AC	J01CG	missing.data
Lithuania	2015	NA	AC	J01CG	reported.zero
Luxembourg	2015	NA	AC	J01CG	reported.zero
Malta	2015	NA	AC	J01CG	reported.zero
Netherlands	2015	NA	AC	J01CG	reported.zero
Norway	2015	NA	AC	J01CG	reported.zero
Poland	2015	NA	AC	J01CG	reported.zero
Portugal	2015	NA	AC	J01CG	reported.zero
Romania	2015	NA	AC	J01CG	reported.zero
Slovakia	2015	NA	AC	J01CG	reported.zero
Slovenia	2015	NA	AC	J01CG	reported.zero
Spain	2015	NA	AC	J01CG	reported.zero
Sweden	2015	NA	AC	J01CG	reported.zero
United Kingdom	2015	NA	AC	J01CG	reported.zero
Austria	2015	4.8	AC	J01CR	NA
Belgium	2015	7.2	AC	J01CR	NA
Bulgaria	2015	3.3	AC	J01CR	NA
Croatia	2015	8	AC	J01CR	NA
Cyprus	2015	9.7	AC	J01CR	pc.hosp.total
Czech Republic	2015	4.6	AC	J01CR	NA
Denmark	2015	1.4	AC	J01CR	NA
Estonia	2015	2.1	AC	J01CR	NA
Finland	2015	1.3	AC	J01CR	NA
France	2015	7.2	AC	J01CR	NA
Germany	2015	0.5	AC	J01CR	NA
Greece	2015	7.7	AC	J01CR	NA
Hungary	2015	5.7	AC	J01CR	NA
Iceland	2015	4.4	AC	J01CR	NA
Ireland	2015	6.7	AC	J01CR	NA
Italy	2015	11.8	AC	J01CR	NA
Latvia	2015	2	AC	J01CR	NA
Liechtenstein	2015	NA	AC	J01CR	missing.data
Lithuania	2015	2	AC	J01CR	NA
Luxembourg	2015	8.4	AC	J01CR	NA
Malta	2015	8	AC	J01CR	NA
Netherlands	2015	1.6	AC	J01CR	NA
